total_years_experience,num_positions,avg_tenure_months,education_level_score,total_skills_count,has_certifications,language_count,section_completeness_score,max_language_score,has_senior_title,career_gap_months,latest_job_duration,has_summary,num_certifications,parse_quality_score,recommendation
9.4,3,37.6,3,11,1,1,0.84,3,0,0,44,1,2,2,Invite
2.8,2,16.8,1,11,0,1,0.5,1,0,12,11,0,0,2,Reject
8.1,4,24.3,4,9,1,1,0.99,6,0,0,52,1,3,2,Invite
3.0,1,36.0,2,6,1,1,0.55,2,0,3,12,0,1,0,Reject
11.0,6,22.0,4,25,1,2,0.78,5,1,1,47,1,3,2,Invite
1.4,1,16.8,3,7,0,1,0.28,3,0,18,11,0,1,1,Reject
1.0,1,12.0,2,10,0,2,0.56,2,0,3,5,0,0,2,Reject
2.9,1,34.8,2,12,0,1,0.35,3,0,18,17,0,0,1,Reject
10.7,4,32.1,3,21,0,1,0.98,5,1,2,44,1,3,2,Invite
3.7,3,14.8,3,13,1,1,0.84,6,0,3,31,1,2,2,Invite
4.5,1,54.0,3,10,0,1,0.46,3,0,0,17,1,1,2,Reject
3.7,3,14.8,2,6,0,2,0.38,3,0,6,8,0,1,0,Reject
6.7,2,40.2,3,9,1,1,0.81,5,1,0,20,1,4,1,Invite
6.8,5,16.3,3,11,1,3,0.77,6,1,0,53,1,1,1,Invite
2.8,1,33.6,1,9,0,1,0.31,1,0,18,3,0,0,0,Reject
1.6,1,19.2,3,5,0,2,0.39,2,0,18,6,0,1,0,Reject
0.5,3,2.0,3,10,0,2,0.26,2,0,3,2,0,0,2,Reject
7.9,6,15.8,4,24,0,1,0.94,3,1,1,27,1,2,2,Invite
10.8,6,21.6,4,16,0,3,0.7,6,0,1,41,1,1,0,Invite
9.2,6,18.4,5,10,1,3,0.65,5,1,3,35,1,4,2,Invite
0.0,3,0.0,2,12,1,2,0.57,1,0,18,5,0,0,2,Reject
1.3,4,3.9,4,18,0,3,0.8,5,1,2,17,1,3,0,Invite
12.7,3,50.8,4,25,1,1,0.64,4,1,2,49,1,4,1,Invite
13.1,2,78.6,5,14,1,1,0.74,6,1,2,27,1,2,2,Invite
6.8,5,16.3,5,15,0,1,0.75,3,1,0,41,1,2,1,Invite
0.7,2,4.2,1,3,1,2,0.34,3,0,3,18,0,0,0,Reject
4.7,2,28.2,1,11,0,2,0.37,3,0,0,7,0,1,0,Reject
7.1,3,28.4,2,12,0,2,0.23,3,0,18,11,0,0,2,Reject
5.9,5,14.2,4,25,0,4,0.87,6,1,3,51,1,4,2,Invite
9.9,4,29.7,3,18,1,4,0.87,6,1,6,59,0,1,2,Invite
1.9,1,22.8,2,5,1,1,0.21,1,0,18,3,0,0,2,Reject
6.1,5,14.6,3,8,1,1,0.91,4,0,6,45,1,2,2,Invite
9.2,6,18.4,5,18,1,4,0.85,6,1,1,22,1,4,2,Invite
4.2,3,16.8,1,10,0,1,0.31,1,0,12,8,0,1,2,Reject
8.7,3,34.8,4,10,1,3,0.82,6,0,2,36,1,1,2,Invite
4.1,2,24.6,2,7,0,2,0.54,2,0,6,18,1,0,1,Reject
4.0,5,9.6,4,22,1,1,0.96,3,0,0,41,0,3,2,Invite
7.3,4,21.9,3,20,0,4,0.7,3,0,2,15,1,3,1,Invite
7.8,2,46.8,5,14,1,2,0.7,6,1,1,25,1,3,2,Invite
6.8,6,13.6,5,11,1,2,0.99,3,1,3,48,1,4,2,Invite
5.2,3,20.8,1,6,1,1,0.52,3,0,12,12,0,1,0,Reject
9.1,2,54.6,5,23,0,3,0.85,6,1,0,58,1,3,2,Invite
2.8,3,11.2,2,7,1,1,0.31,2,0,3,15,0,1,1,Reject
3.7,4,11.1,3,14,0,3,0.74,5,1,1,24,0,4,2,Invite
1.4,2,8.4,2,2,0,1,0.36,1,0,3,12,0,1,1,Reject
0.0,2,0.0,1,9,0,2,0.29,3,0,0,4,1,0,0,Reject
2.1,3,8.4,2,3,1,2,0.29,1,0,3,18,0,0,2,Reject
10.9,3,43.6,4,23,0,1,0.83,6,0,0,15,1,4,1,Invite
3.1,2,18.6,3,17,0,2,0.65,6,1,2,26,1,4,2,Invite
7.2,6,14.4,5,17,1,1,0.84,3,1,0,25,1,1,1,Invite
7.2,5,17.3,4,23,0,2,0.72,5,1,0,55,1,3,2,Invite
7.1,3,28.4,4,25,0,2,0.96,4,0,0,31,1,3,2,Invite
6.0,4,18.0,4,23,1,1,0.96,5,1,0,26,1,1,2,Invite
4.4,2,26.4,2,4,0,2,0.57,1,0,18,14,0,1,2,Reject
4.8,2,28.8,5,18,1,4,0.72,6,1,1,41,0,3,2,Invite
3.5,2,21.0,3,2,0,2,0.37,1,0,6,16,0,0,0,Reject
9.9,5,23.8,3,15,1,3,0.82,6,0,6,19,1,1,2,Invite
5.6,4,16.8,4,16,1,4,0.99,4,0,0,24,1,2,2,Invite
7.8,6,15.6,3,8,0,3,0.93,6,1,0,42,1,4,2,Invite
4.0,3,16.0,5,15,1,2,0.94,6,0,2,57,1,4,2,Invite
4.9,2,29.4,3,4,0,2,0.55,2,0,0,15,0,0,1,Reject
0.0,1,0.0,1,6,0,2,0.46,2,0,18,18,0,1,1,Reject
0.0,3,0.0,1,12,0,2,0.6,3,0,0,4,1,0,1,Reject
2.7,1,32.4,1,2,0,2,0.37,1,0,6,6,0,0,1,Reject
5.6,6,11.2,3,22,1,4,0.7,3,1,0,30,1,2,1,Invite
0.4,3,1.6,1,8,0,2,0.54,1,0,18,16,0,1,1,Reject
9.5,5,22.8,3,9,1,4,0.93,5,1,0,34,1,2,2,Invite
2.4,3,9.6,2,12,1,1,0.56,3,0,0,15,0,1,2,Reject
5.6,3,22.4,3,25,1,3,0.81,5,1,0,42,1,3,2,Invite
11.8,2,70.8,4,10,0,2,0.94,6,1,2,35,0,4,0,Invite
2.7,4,8.1,4,19,0,2,0.79,5,1,0,16,1,4,2,Invite
8.3,5,19.9,3,9,1,3,1.0,3,0,3,20,1,3,2,Invite
4.5,3,18.0,2,8,0,2,0.45,2,0,0,12,0,1,2,Reject
1.8,1,21.6,3,7,0,2,0.22,2,0,0,4,1,1,0,Reject
